customer_name,city,state,segment
James Davis,East Wendy,North Dakota,Small Business
Christopher Dyer,Munozborough,Ohio,Small Business
Teresa Mann,East Adamburgh,Maryland,Corporate
Timothy Lewis,Port Brenda,Oregon,Consumer
Russell Jones,New Josephbury,Oklahoma,Small Business
Doris Sherman,Ginahaven,Maine,Small Business
Stacy Jones,South Joseph,Virginia,Consumer
Joseph Hale,Claytonside,Mississippi,Consumer
Donna Stevens,Parkmouth,Wyoming,Consumer
Charles Bradford,East Robertbury,Vermont,Consumer
Julie Mcdaniel,Brandonville,South Dakota,Consumer
Jason Stephenson,Mullinsfurt,Alabama,Small Business
Martin Stevenson,South Michaelburgh,New Mexico,Consumer
Dana Graves,West Jessicamouth,Arizona,Corporate
Andrea Roy,West Amy,Texas,Corporate
Joseph Martinez,Whitemouth,Iowa,Small Business
Jacob Long,New Kimberlystad,Missouri,Corporate
Angela Martinez,Lake Moniquefort,North Dakota,Corporate
William Cain,North Breannaberg,Alabama,Consumer
Donald Bradley,Kathleenfurt,Oklahoma,Consumer
Holly Atkinson,Port Patrickmouth,North Carolina,Consumer
Amanda Luna,West Davidfurt,Alaska,Corporate
Carol Herring,Sarahbury,Wisconsin,Small Business
Jeremiah Salazar,Curtisbury,Alabama,Small Business
Christopher Reed,West Rachel,Maine,Consumer
Virginia Keller,Cameronmouth,Maryland,Consumer
Barry Maynard,Phillipsland,Rhode Island,Consumer
Heather Jones,West David,Indiana,Consumer
Mrs. Deborah Rodriguez MD,Bakerstad,Nevada,Consumer
Russell Schmidt,North Ericahaven,Delaware,Corporate
Jessica Roberts,Larsonhaven,Delaware,Consumer
Alexander Lane,Port Lindsey,New York,Small Business
Douglas Jones,East Matthew,Louisiana,Small Business
Adam Parker,Sandersland,Florida,Corporate
Theresa Robinson,Jacksonport,Alabama,Small Business
David Washington,Garnerton,Florida,Corporate
Stephanie Green DDS,Davidsonfurt,New Jersey,Consumer
Kelly Bell,Port Sandra,Indiana,Corporate
David Lawrence,New Kirstenchester,Kansas,Small Business
James Faulkner,Stouttown,Alaska,Corporate
Elizabeth Wang,New Kelly,Alaska,Small Business
Brenda Reed,Romanberg,Nevada,Corporate
Joshua Owens,Hancockshire,Alaska,Small Business
Jennifer Hall,Lisaville,North Dakota,Small Business
Colleen Yang,Lake Sarah,Kentucky,Corporate
Mark Padilla,East Richard,Texas,Consumer
Diana Russell,New Aliciafurt,New Mexico,Small Business
Alexis Gonzales,Riveraville,South Carolina,Small Business
Donald Harris,Kathychester,Kentucky,Small Business
Lonnie Taylor,New Anthony,Massachusetts,Small Business
Alicia Prince,North Taylor,Louisiana,Corporate
Jason Sullivan,Port Matthew,Massachusetts,Corporate
Morgan Delacruz DDS,Port Nicholasfort,Vermont,Consumer
Erika Livingston,Sanchezstad,North Dakota,Corporate
Joseph Pineda,Collinsport,Florida,Corporate
Brenda Bates,Lake Amy,Texas,Small Business
Hannah Cordova,Claytontown,North Carolina,Consumer
